timestamp,x,y,wind_speed,wind_dir
2020-01-01 00:00:00,0,0,8.73,278.8
2020-01-01 00:00:00,0,1,8.06,267.0
2020-01-01 00:00:00,0,2,8.25,274.8
2020-01-01 00:00:00,0,3,7.8,270.4
2020-01-01 00:00:00,0,4,7.79,266.9
2020-01-01 00:00:00,0,5,7.31,276.2
2020-01-01 00:00:00,0,6,7.15,266.3
2020-01-01 00:00:00,0,7,8.21,268.0
2020-01-01 00:00:00,0,8,8.17,265.1
2020-01-01 00:00:00,0,9,7.64,270.3
2020-01-01 00:00:00,0,10,7.68,271.5
2020-01-01 00:00:00,0,11,7.45,272.4
2020-01-01 00:00:00,0,12,7.98,265.0
2020-01-01 00:00:00,0,13,8.13,272.0
2020-01-01 00:00:00,0,14,7.55,275.9
2020-01-01 00:00:00,0,15,7.19,268.9
2020-01-01 00:00:00,0,16,7.48,272.0
2020-01-01 00:00:00,0,17,7.62,267.8
2020-01-01 00:00:00,0,18,6.62,278.0
2020-01-01 00:00:00,0,19,6.43,264.1
2020-01-01 00:00:00,1,0,7.77,268.8
2020-01-01 00:00:00,1,1,7.98,278.6
2020-01-01 00:00:00,1,2,7.96,264.9
2020-01-01 00:00:00,1,3,7.27,269.8
2020-01-01 00:00:00,1,4,9.17,272.0
2020-01-01 00:00:00,1,5,7.9,271.9
2020-01-01 00:00:00,1,6,7.28,263.8
2020-01-01 00:00:00,1,7,7.53,263.3
2020-01-01 00:00:00,1,8,7.43,261.0
2020-01-01 00:00:00,1,9,8.25,266.1
2020-01-01 00:00:00,1,10,8.53,264.8
2020-01-01 00:00:00,1,11,7.92,273.3
2020-01-01 00:00:00,1,12,7.46,261.1
2020-01-01 00:00:00,1,13,7.4,275.3
2020-01-01 00:00:00,1,14,7.52,277.4
2020-01-01 00:00:00,1,15,7.79,267.9
2020-01-01 00:00:00,1,16,7.19,277.5
2020-01-01 00:00:00,1,17,7.91,270.6
2020-01-01 00:00:00,1,18,7.08,269.1
2020-01-01 00:00:00,1,19,5.88,269.3
2020-01-01 00:00:00,2,0,8.73,274.1
2020-01-01 00:00:00,2,1,7.49,265.8
2020-01-01 00:00:00,2,2,8.34,273.8
2020-01-01 00:00:00,2,3,7.37,268.2
2020-01-01 00:00:00,2,4,8.7,271.0
2020-01-01 00:00:00,2,5,8.2,274.1
2020-01-01 00:00:00,2,6,7.03,271.9
2020-01-01 00:00:00,2,7,7.96,265.7
2020-01-01 00:00:00,2,8,7.97,266.4
2020-01-01 00:00:00,2,9,8.14,268.3
2020-01-01 00:00:00,2,10,7.63,265.4
2020-01-01 00:00:00,2,11,8.24,273.1
2020-01-01 00:00:00,2,12,7.51,268.5
2020-01-01 00:00:00,2,13,7.33,265.7
2020-01-01 00:00:00,2,14,8.51,263.6
2020-01-01 00:00:00,2,15,6.96,265.8
2020-01-01 00:00:00,2,16,7.13,271.9
2020-01-01 00:00:00,2,17,8.11,264.1
2020-01-01 00:00:00,2,18,7.04,257.3
2020-01-01 00:00:00,2,19,6.53,278.9
2020-01-01 00:00:00,3,0,7.82,275.6
2020-01-01 00:00:00,3,1,8.33,272.3
2020-01-01 00:00:00,3,2,7.99,275.0
2020-01-01 00:00:00,3,3,8.4,267.0
2020-01-01 00:00:00,3,4,8.6,270.3
2020-01-01 00:00:00,3,5,7.45,273.1
2020-01-01 00:00:00,3,6,7.87,269.3
2020-01-01 00:00:00,3,7,9.01,272.7
2020-01-01 00:00:00,3,8,8.12,274.5
2020-01-01 00:00:00,3,9,8.49,270.8
2020-01-01 00:00:00,3,10,8.4,268.5
2020-01-01 00:00:00,3,11,8.0,265.7
2020-01-01 00:00:00,3,12,7.73,277.5
2020-01-01 00:00:00,3,13,8.52,271.2
2020-01-01 00:00:00,3,14,7.78,270.3
2020-01-01 00:00:00,3,15,7.04,278.2
2020-01-01 00:00:00,3,16,7.81,271.4
2020-01-01 00:00:00,3,17,8.04,278.4
2020-01-01 00:00:00,3,18,8.27,260.9
2020-01-01 00:00:00,3,19,7.4,265.6
2020-01-01 00:00:00,4,0,7.94,266.4
2020-01-01 00:00:00,4,1,8.0,265.2
2020-01-01 00:00:00,4,2,8.61,272.1
2020-01-01 00:00:00,4,3,8.41,271.6
2020-01-01 00:00:00,4,4,9.08,270.7
2020-01-01 00:00:00,4,5,9.12,265.1
2020-01-01 00:00:00,4,6,8.21,266.8
2020-01-01 00:00:00,4,7,6.68,268.4
2020-01-01 00:00:00,4,8,8.2,265.2
2020-01-01 00:00:00,4,9,8.0,277.5
2020-01-01 00:00:00,4,10,7.71,277.4
2020-01-01 00:00:00,4,11,6.66,269.7
2020-01-01 00:00:00,4,12,9.2,276.8
2020-01-01 00:00:00,4,13,7.12,274.4
2020-01-01 00:00:00,4,14,8.07,267.8
2020-01-01 00:00:00,4,15,7.35,262.4
2020-01-01 00:00:00,4,16,6.69,263.0
2020-01-01 00:00:00,4,17,6.9,273.3
2020-01-01 00:00:00,4,18,7.73,273.7
2020-01-01 00:00:00,4,19,7.96,271.8
2020-01-01 00:00:00,5,0,8.03,269.5
